Kentucky August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,2.89
197508,1.17
197608,0.85
197708,1.36
197808,1.40
197908,4.73
198008,-1.00
198108,1.11
198208,1.10
198308,-1.97
198408,-0.96
198508,1.19
198608,-2.79
198708,-2.49
198808,-3.53
198908,3.41
199008,0.32
199108,-1.89
199208,1.64
199308,-0.78
199408,0.49
199508,-0.78
199608,1.39
199708,1.91
199808,1.43
199908,-3.47
200008,-0.46
200108,0.11
200208,-1.51
200308,3.15
200408,2.98
200508,0.77
200608,-0.54
200708,-3.54
200808,-1.04
200908,2.22
201008,-0.79
201108,1.00
201208,-2.59
201308,2.69
201408,1.95
201508,3.54
201608,3.31
201708,1.28
201808,2.69
201908,4.62
202008,4.54
202108,3.54
202208,2.94
202308,1.14
