Louisiana August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,2.33
197508,4.95
197608,-0.36
197708,1.03
197808,0.56
197908,2.08
198008,-2.47
198108,-1.93
198208,-1.91
198308,2.65
198408,1.39
198508,-1.32
198608,-2.22
198708,0.88
198808,0.14
198908,3.05
199008,-1.84
199108,4.11
199208,3.10
199308,0.46
199408,1.11
199508,-0.14
199608,0.14
199708,0.85
199808,-3.43
199908,-2.08
200008,-4.70
200108,1.98
200208,-1.12
200308,0.72
200408,1.67
200508,-1.83
200608,-3.77
200708,-0.02
200808,0.03
200908,-1.85
201008,-2.01
201108,-5.91
201208,1.76
201308,-0.88
201408,2.06
201508,-1.59
201608,4.46
201708,4.80
201808,-2.39
201908,3.06
202008,2.24
202108,4.34
202208,1.68
202308,-3.72
