Maine August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,2.81
197508,-1.77
197608,3.75
197708,1.03
197808,-2.16
197908,0.93
198008,-1.51
198108,1.65
198208,0.01
198308,0.90
198408,2.58
198508,-1.09
198608,1.74
198708,-2.05
198808,0.31
198908,0.84
199008,1.40
199108,1.85
199208,0.62
199308,-1.30
199408,-0.44
199508,-2.43
199608,2.24
199708,1.87
199808,0.83
199908,-2.56
200008,0.70
200108,-3.62
200208,-2.20
200308,-2.16
200408,1.83
200508,2.35
200608,4.52
200708,2.12
200808,4.14
200908,4.96
201008,-1.66
201108,4.27
201208,-0.19
201308,2.75
201408,2.77
201508,0.96
201608,-0.72
201708,-0.89
201808,-0.90
201908,2.44
202008,-1.76
202108,-2.21
202208,0.74
202308,3.99
