Maryland August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,-0.58
197508,2.33
197608,-2.02
197708,-2.72
197808,2.31
197908,3.14
198008,-1.19
198108,-0.61
198208,-0.50
198308,-1.76
198408,2.64
198508,-1.56
198608,-2.91
198708,-3.31
198808,-2.11
198908,2.50
199008,1.44
199108,-3.26
199208,-0.76
199308,-2.04
199408,0.56
199508,-2.93
199608,3.60
199708,-1.08
199808,-0.81
199908,-4.40
200008,1.97
200108,0.75
200208,-4.46
200308,4.04
200408,3.38
200508,-0.02
200608,-1.29
200708,-2.68
200808,-0.02
200908,1.62
201008,-2.78
201108,0.83
201208,-2.48
201308,1.50
201408,1.18
201508,0.31
201608,-0.68
201708,1.58
201808,3.22
201908,1.85
202008,1.35
202108,0.33
202208,-0.51
202308,-2.33
