Michigan August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.73
197508,3.33
197608,-1.58
197708,-1.99
197808,0.42
197908,2.28
198008,1.19
198108,0.99
198208,1.27
198308,-1.01
198408,-0.87
198508,2.20
198608,1.81
198708,-0.41
198808,-2.94
198908,-0.44
199008,1.05
199108,-0.64
199208,1.38
199308,2.78
199408,3.27
199508,-0.44
199608,0.87
199708,1.34
199808,-2.65
199908,0.16
200008,1.38
200108,-0.80
200208,0.84
200308,-1.44
200408,2.21
200508,-2.72
200608,-0.08
200708,-1.52
200808,-0.06
200908,3.11
201008,0.46
201108,1.07
201208,-1.93
201308,2.47
201408,2.76
201508,0.47
201608,1.07
201708,2.60
201808,1.48
201908,2.54
202008,3.81
202108,1.60
202208,0.51
202308,1.08
