Minnesota August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.47
197508,-0.01
197608,-4.24
197708,-3.90
197808,2.92
197908,3.54
198008,-0.98
198108,1.65
198208,1.11
198308,2.14
198408,-0.40
198508,3.17
198608,4.11
198708,-1.53
198808,-5.34
198908,-2.70
199008,-0.17
199108,0.55
199208,2.49
199308,5.75
199408,3.01
199508,2.41
199608,0.27
199708,2.34
199808,0.51
199908,3.53
200008,1.84
200108,1.34
200208,2.75
200308,-1.35
200408,1.47
200508,1.13
200608,-2.54
200708,-2.18
200808,-0.57
200908,-0.27
201008,1.89
201108,2.88
201208,-2.24
201308,-0.70
201408,2.67
201508,1.54
201608,3.52
201708,3.01
201808,1.76
201908,3.91
202008,2.97
202108,-3.64
202208,-0.65
202308,-3.76
