Missouri August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,2.73
197508,0.66
197608,-1.56
197708,-0.64
197808,1.56
197908,1.88
198008,-3.29
198108,3.25
198208,3.54
198308,-1.74
198408,-1.22
198508,3.41
198608,-0.64
198708,0.22
198808,-2.39
198908,1.01
199008,2.28
199108,-1.77
199208,1.00
199308,4.76
199408,1.47
199508,2.88
199608,0.92
199708,1.07
199808,2.06
199908,-0.88
200008,-0.91
200108,0.79
200208,0.13
200308,-1.10
200408,2.35
200508,-0.44
200608,-2.01
200708,-0.77
200808,4.24
200908,4.19
201008,3.24
201108,0.59
201208,-4.31
201308,2.18
201408,0.69
201508,3.80
201608,3.18
201708,2.36
201808,-0.49
201908,4.66
202008,3.48
202108,2.40
202208,0.12
202308,-0.03
