New Mexico August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,-2.48
197508,1.04
197608,-2.30
197708,-0.07
197808,-1.53
197908,4.74
198008,-2.16
198108,0.87
198208,-0.89
198308,-0.07
198408,1.83
198508,4.46
198608,3.36
198708,6.90
198808,4.68
198908,-1.78
199008,0.40
199108,2.73
199208,5.92
199308,3.80
199408,-2.02
199508,-1.32
199608,-1.01
199708,1.30
199808,0.29
199908,1.92
200008,-4.09
200108,0.55
200208,-4.53
200308,-4.81
200408,-0.93
200508,1.68
200608,1.16
200708,0.15
200808,1.59
200908,-3.37
201008,1.81
201108,-6.03
201208,-5.50
201308,-3.97
201408,-3.08
201508,1.06
201608,-1.04
201708,0.50
201808,-4.83
201908,-2.74
202008,-4.27
202108,-2.89
202208,-2.21
202308,-3.85
