New York August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.62
197508,2.13
197608,4.53
197708,1.00
197808,-0.34
197908,-0.05
198008,-1.24
198108,-0.49
198208,-0.65
198308,-0.43
198408,2.59
198508,-1.52
198608,2.70
198708,0.00
198808,-0.49
198908,1.24
199008,2.63
199108,-2.09
199208,2.32
199308,-2.04
199408,2.36
199508,-3.76
199608,2.20
199708,1.05
199808,1.94
199908,-3.53
200008,3.22
200108,-2.20
200208,-1.77
200308,1.67
200408,3.84
200508,-0.56
200608,3.18
200708,-0.84
200808,2.84
200908,3.52
201008,1.16
201108,5.09
201208,-2.57
201308,2.26
201408,3.01
201508,0.67
201608,-1.65
201708,2.97
201808,1.43
201908,3.15
202008,-0.59
202108,3.03
202208,-0.20
202308,2.88
