North Carolina August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.90
197508,0.79
197608,-0.51
197708,-2.24
197808,1.40
197908,0.81
198008,-1.93
198108,-1.56
198208,0.50
198308,-2.28
198408,2.28
198508,-0.34
198608,-2.86
198708,-2.62
198808,-2.60
198908,3.13
199008,-1.96
199108,0.41
199208,1.00
199308,-3.25
199408,0.45
199508,0.62
199608,1.52
199708,-1.36
199808,-0.82
199908,-3.03
200008,-1.23
200108,-0.74
200208,-4.73
200308,4.60
200408,1.20
200508,-0.34
200608,-0.26
200708,-4.28
200808,-3.85
200908,-1.23
201008,-2.87
201108,-2.68
201208,-1.09
201308,3.10
201408,0.20
201508,-1.72
201608,-1.31
201708,0.07
201808,1.55
201908,-0.29
202008,2.77
202108,1.92
202208,-2.09
202308,0.58
