North Dakota August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,0.98
197508,4.27
197608,-2.49
197708,-3.73
197808,2.76
197908,2.21
198008,-1.37
198108,-1.80
198208,0.86
198308,2.85
198408,-2.18
198508,0.49
198608,3.08
198708,2.06
198808,-7.07
198908,-4.09
199008,-3.57
199108,-3.22
199208,-1.75
199308,6.76
199408,4.22
199508,6.76
199608,3.55
199708,3.43
199808,0.51
199908,6.14
200008,3.45
200108,2.77
200208,-0.71
200308,-1.58
200408,1.22
200508,3.38
200608,-2.98
200708,1.48
200808,-2.47
200908,4.43
201008,6.41
201108,9.49
201208,-2.90
201308,3.76
201408,7.38
201508,1.44
201608,1.02
201708,-2.58
201808,-2.64
201908,2.10
202008,4.15
202108,-5.41
202208,2.83
202308,-0.49
