Ohio August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.93
197508,1.77
197608,1.14
197708,0.43
197808,0.34
197908,3.31
198008,4.83
198108,1.75
198208,-0.96
198308,-1.49
198408,-1.19
198508,-0.15
198608,0.43
198708,-0.77
198808,-4.06
198908,1.88
199008,3.39
199108,-3.27
199208,2.86
199308,-1.44
199408,0.50
199508,-0.25
199608,1.12
199708,3.43
199808,1.90
199908,-2.95
200008,1.10
200108,-0.51
200208,-1.90
200308,3.26
200408,3.85
200508,-0.07
200608,0.74
200708,0.09
200808,1.01
200908,0.31
201008,-0.77
201108,2.04
201208,-3.27
201308,1.55
201408,2.53
201508,1.93
201608,-0.93
201708,1.32
201808,2.64
201908,4.78
202008,0.10
202108,1.29
202208,2.39
202308,1.21
