Vermont August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,3.27
197508,0.19
197608,4.66
197708,-0.73
197808,-0.35
197908,-1.04
198008,-2.66
198108,0.78
198208,-0.57
198308,0.79
198408,1.87
198508,-1.03
198608,2.15
198708,-0.39
198808,-0.50
198908,1.47
199008,3.34
199108,-0.22
199208,-0.26
199308,-1.05
199408,1.60
199508,-2.67
199608,2.48
199708,2.47
199808,3.26
199908,-3.02
200008,2.85
200108,-2.83
200208,-1.19
200308,0.61
200408,2.87
200508,0.49
200608,4.35
200708,2.30
200808,5.23
200908,3.87
201008,0.52
201108,6.13
201208,-2.12
201308,2.51
201408,2.23
201508,0.39
201608,-0.90
201708,1.65
201808,-1.18
201908,1.40
202008,-1.40
202108,0.29
202208,-1.36
202308,4.06
