Virginia August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,0.35
197508,1.78
197608,-2.17
197708,-3.15
197808,2.54
197908,2.31
198008,-1.93
198108,-2.40
198208,1.26
198308,-2.13
198408,2.59
198508,-0.06
198608,-2.71
198708,-2.58
198808,-2.05
198908,3.19
199008,-0.27
199108,-1.88
199208,0.83
199308,-2.25
199408,1.41
199508,-1.35
199608,2.57
199708,-1.17
199808,-0.92
199908,-4.32
200008,1.45
200108,0.77
200208,-3.79
200308,5.17
200408,3.84
200508,-1.22
200608,-0.30
200708,-2.57
200808,-1.89
200908,1.19
201008,-2.79
201108,-0.52
201208,-1.17
201308,2.92
201408,1.07
201508,-0.22
201608,0.80
201708,0.39
201808,3.03
201908,2.69
202008,3.50
202108,1.25
202208,0.25
202308,0.37
