Washington August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,2.35
197508,1.18
197608,2.31
197708,-1.06
197808,1.41
197908,-2.34
198008,1.23
198108,2.13
198208,0.26
198308,3.27
198408,2.60
198508,-2.64
198608,-1.77
198708,-1.81
198808,-0.02
198908,0.11
199008,1.87
199108,2.57
199208,-2.93
199308,2.94
199408,-2.41
199508,0.63
199608,0.88
199708,4.60
199808,-0.61
199908,2.62
200008,-0.33
200108,-0.37
200208,-0.82
200308,-2.74
200408,-0.15
200508,0.21
200608,-1.21
200708,-1.20
200808,0.26
200908,-1.63
201008,2.07
201108,2.75
201208,2.58
201308,0.37
201408,0.46
201508,-3.73
201608,-2.09
201708,-1.51
201808,-2.67
201908,-3.09
202008,-0.33
202108,-3.98
202208,1.46
202308,-3.47
