West Virginia August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.69
197508,1.71
197608,-1.14
197708,-0.39
197808,1.45
197908,3.05
198008,3.14
198108,-0.98
198208,0.78
198308,-1.48
198408,0.78
198508,0.04
198608,-1.17
198708,-2.61
198808,-4.47
198908,3.20
199008,0.84
199108,-3.41
199208,0.84
199308,-2.55
199408,3.50
199508,-1.46
199608,3.77
199708,1.84
199808,0.15
199908,-4.81
200008,1.15
200108,1.12
200208,-0.88
200308,3.64
200408,3.22
200508,-0.73
200608,-1.05
200708,-1.88
200808,0.85
200908,1.32
201008,-1.21
201108,-0.81
201208,-1.77
201308,2.00
201408,-0.10
201508,0.43
201608,-0.02
201708,0.83
201808,3.10
201908,2.30
202008,3.17
202108,-0.44
202208,2.05
202308,0.55
