Florida August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.42
197508,0.42
197608,-0.65
197708,-2.48
197808,1.41
197908,-0.87
198008,-1.52
198108,-2.54
198208,1.67
198308,-0.21
198408,1.32
198508,-1.04
198608,-1.71
198708,-2.90
198808,-0.81
198908,-2.03
199008,-2.53
199108,2.65
199208,0.78
199308,-3.08
199408,1.41
199508,2.39
199608,-0.33
199708,-0.14
199808,-4.17
199908,-2.73
200008,-5.18
200108,-1.69
200208,0.63
200308,3.07
200408,0.21
200508,1.86
200608,-3.89
200708,-6.22
200808,1.35
200908,-0.47
201008,-1.62
201108,-5.14
201208,1.24
201308,2.66
201408,-1.05
201508,-1.32
201608,-0.87
201708,1.76
201808,2.10
201908,-0.08
202008,-0.56
202108,1.32
202208,-0.71
202308,-1.10
