Indiana January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.47
197512,0.73
197612,-0.41
197712,0.37
197812,0.19
197912,1.28
198012,-0.05
198112,0.52
198212,0.69
198312,-0.16
198412,0.06
198512,0.64
198612,0.29
198712,-0.69
198812,-0.97
198912,0.92
199012,1.82
199112,-0.87
199212,0.68
199312,1.45
199412,-0.51
199512,-0.38
199612,1.22
199712,0.26
199812,0.42
199912,-1.07
200012,0.60
200112,0.75
200212,-0.12
200312,1.17
200412,0.60
200512,-0.08
200612,1.51
200712,-0.35
200812,1.19
200912,1.07
201012,-0.72
201112,1.54
201212,-1.21
201312,0.67
201412,0.94
201512,0.86
201612,0.54
201712,0.61
201812,1.36
201912,1.08
202012,0.27
202112,0.81
202212,-0.34
202312,-0.57
