Iowa January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.21
197512,-0.23
197612,-1.23
197712,-0.28
197812,0.66
197912,0.84
198012,-0.18
198112,0.36
198212,1.75
198312,0.64
198412,0.87
198512,0.06
198612,1.17
198712,0.08
198812,-1.90
198912,-1.43
199012,0.82
199112,0.61
199212,1.12
199312,2.43
199412,-0.04
199512,0.10
199612,0.61
199712,-0.05
199812,0.98
199912,0.10
200012,-0.50
200112,0.30
200212,-0.19
200312,-0.39
200412,0.65
200512,-0.36
200612,-0.16
200712,1.40
200812,1.76
200912,1.45
201012,1.53
201112,-0.03
201212,-1.52
201312,0.00
201412,1.03
201512,1.62
201612,0.80
201712,0.08
201812,1.81
201912,1.50
202012,-0.32
202112,-0.29
202212,-0.67
202312,-0.93
