Minnesota January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.20
197512,0.41
197612,-2.21
197712,0.11
197812,0.29
197912,1.14
198012,-0.80
198112,0.49
198212,1.15
198312,0.85
198412,0.55
198512,1.32
198612,1.29
198712,-1.22
198812,-1.76
198912,-0.90
199012,-0.35
199112,1.16
199212,0.61
199312,1.66
199412,0.60
199512,0.96
199612,0.80
199712,0.32
199812,0.46
199912,0.93
200012,0.57
200112,0.41
200212,0.74
200312,-0.75
200412,0.68
200512,1.03
200612,-0.91
200712,0.07
200812,0.61
200912,0.50
201012,1.34
201112,-0.31
201212,-1.11
201312,0.42
201412,0.60
201512,0.33
201612,1.39
201712,0.72
201812,1.05
201912,2.12
202012,-0.02
202112,-1.15
202212,-0.12
202312,-0.88
