Mississippi January-December Palmer Z-Index
Missing: -99
Date,Value
197412,1.25
197512,1.36
197612,-0.15
197712,-0.01
197812,-0.45
197912,1.73
198012,0.31
198112,-1.05
198212,0.69
198312,1.38
198412,0.03
198512,-0.15
198612,-0.69
198712,-0.22
198812,-0.31
198912,1.11
199012,0.11
199112,1.12
199212,0.40
199312,0.06
199412,0.61
199512,0.04
199612,-0.08
199712,0.86
199812,-0.46
199912,-0.75
200012,-1.22
200112,1.04
200212,0.85
200312,0.61
200412,0.90
200512,-0.34
200612,-0.49
200712,-1.24
200812,0.42
200912,0.97
201012,-1.07
201112,-0.47
201212,0.26
201312,0.63
201412,0.44
201512,0.07
201612,-0.59
201712,0.40
201812,0.51
201912,0.93
202012,1.04
202112,1.10
202212,0.19
202312,-1.03
