Missouri January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.46
197512,0.28
197612,-1.01
197712,0.22
197812,0.16
197912,0.37
198012,-1.49
198112,0.35
198212,1.52
198312,0.00
198412,0.84
198512,1.40
198612,0.28
198712,-0.09
198812,-0.76
198912,-0.33
199012,1.05
199112,-0.33
199212,0.52
199312,2.04
199412,0.22
199512,0.27
199612,0.71
199712,0.20
199812,1.09
199912,-0.61
200012,-0.70
200112,0.52
200212,-0.12
200312,0.04
200412,0.78
200512,-0.58
200612,-0.40
200712,-0.27
200812,2.08
200912,1.56
201012,0.51
201112,0.30
201212,-1.57
201312,0.76
201412,0.30
201512,1.58
201612,-0.18
201712,-0.04
201812,0.11
201912,1.68
202012,0.79
202112,0.48
202212,-0.09
202312,-0.76
