Montana January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.31
197512,2.20
197612,0.25
197712,-0.90
197812,1.48
197912,-0.69
198012,-0.60
198112,-0.21
198212,1.38
198312,0.14
198412,-0.26
198512,-0.62
198612,0.81
198712,-0.83
198812,-2.35
198912,0.34
199012,-0.08
199112,0.22
199212,-1.05
199312,1.34
199412,-0.20
199512,1.35
199612,0.93
199712,0.85
199812,0.07
199912,0.09
200012,-1.38
200112,-2.25
200212,-1.06
200312,-0.86
200412,-1.24
200512,-0.50
200612,-0.21
200712,-0.66
200812,-0.02
200912,0.06
201012,0.84
201112,1.46
201212,-1.01
201312,0.23
201412,0.77
201512,-0.79
201612,-0.19
201712,-0.50
201812,0.41
201912,1.17
202012,0.35
202112,-1.82
202212,-0.82
202312,-0.55
