Nebraska January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.46
197512,-0.38
197612,-0.89
197712,0.65
197812,0.45
197912,1.26
198012,-0.45
198112,-0.59
198212,1.37
198312,1.31
198412,1.32
198512,0.27
198612,1.09
198712,0.98
198812,-0.53
198912,-1.55
199012,-0.81
199112,-0.67
199212,0.89
199312,2.83
199412,0.65
199512,1.02
199612,0.89
199712,0.64
199812,1.24
199912,0.52
200012,-0.76
200112,0.34
200212,-1.53
200312,-0.85
200412,-0.46
200512,-0.10
200612,-0.75
200712,1.05
200812,1.57
200912,1.85
201012,1.54
201112,1.11
201212,-2.24
201312,-0.19
201412,0.55
201512,1.23
201612,0.68
201712,0.43
201812,1.60
201912,2.64
202012,-0.08
202112,-0.29
202212,-2.04
202312,-0.16
