New Hampshire January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.18
197512,0.50
197612,0.47
197712,0.57
197812,-0.62
197912,0.15
198012,-0.96
198112,0.82
198212,-0.45
198312,0.99
198412,0.30
198512,-0.51
198612,0.52
198712,-0.10
198812,-0.16
198912,0.29
199012,1.08
199112,0.16
199212,-0.32
199312,-0.35
199412,-0.10
199512,-0.29
199612,1.44
199712,0.08
199812,0.22
199912,-0.14
200012,0.69
200112,-1.33
200212,-0.15
200312,0.63
200412,0.00
200512,1.61
200612,1.40
200712,0.46
200812,1.99
200912,0.92
201012,0.24
201112,1.36
201212,-0.18
201312,0.20
201412,0.65
201512,-0.20
201612,-0.84
201712,0.39
201812,0.72
201912,0.62
202012,-0.55
202112,0.06
202212,-0.04
202312,1.26
