New Mexico January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.13
197512,0.46
197612,-0.77
197712,-0.44
197812,0.45
197912,1.06
198012,-0.30
198112,-0.38
198212,0.09
198312,0.71
198412,0.91
198512,1.80
198612,1.34
198712,1.51
198812,0.66
198912,-1.09
199012,0.25
199112,1.30
199212,1.29
199312,0.50
199412,-0.37
199512,-0.68
199612,-0.77
199712,0.87
199812,0.20
199912,-0.32
200012,-0.90
200112,-0.15
200212,-0.96
200312,-1.66
200412,0.51
200512,0.45
200612,-0.44
200712,-0.01
200812,-0.22
200912,-1.16
201012,0.40
201112,-1.70
201212,-1.91
201312,-0.53
201412,-0.99
201512,0.87
201612,-0.78
201712,-0.43
201812,-1.19
201912,-0.32
202012,-1.68
202112,-1.11
202212,-0.73
202312,-1.15
