New York January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.58
197512,0.93
197612,1.38
197712,1.31
197812,-0.09
197912,0.47
198012,-0.57
198112,0.15
198212,-0.40
198312,0.45
198412,0.33
198512,-0.15
198612,0.84
198712,-0.13
198812,-0.67
198912,0.41
199012,1.24
199112,-0.91
199212,0.81
199312,0.12
199412,0.46
199512,-0.78
199612,1.64
199712,0.04
199812,-0.04
199912,-0.54
200012,1.06
200112,-1.20
200212,0.21
200312,1.16
200412,0.78
200512,0.46
200612,1.14
200712,0.27
200812,1.21
200912,0.45
201012,0.17
201112,2.00
201212,-0.57
201312,0.57
201412,0.53
201512,-0.22
201612,-0.67
201712,0.90
201812,1.10
201912,1.03
202012,-0.44
202112,0.69
202212,0.20
202312,0.98
