Oklahoma January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.91
197512,0.70
197612,-0.65
197712,-0.61
197812,-0.81
197912,0.47
198012,-0.99
198112,-0.27
198212,0.52
198312,0.28
198412,0.32
198512,1.20
198612,0.85
198712,1.07
198812,-0.36
198912,0.53
199012,0.76
199112,0.58
199212,1.47
199312,0.92
199412,0.44
199512,0.79
199612,0.26
199712,1.10
199812,0.10
199912,0.39
200012,0.37
200112,-0.32
200212,0.28
200312,-0.46
200412,0.79
200512,-0.58
200612,-1.53
200712,1.23
200812,0.68
200912,0.51
201012,-0.13
201112,-1.58
201212,-1.28
201312,0.41
201412,-0.25
201512,2.02
201612,-0.43
201712,0.21
201812,0.66
201912,1.36
202012,0.69
202112,0.13
202212,-0.88
202312,0.42
