Oregon January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.41
197512,0.69
197612,-0.93
197712,-0.24
197812,-0.12
197912,-0.01
198012,0.12
198112,0.74
198212,0.93
198312,1.52
198412,1.17
198512,-0.89
198612,-0.04
198712,-1.09
198812,-0.42
198912,-0.55
199012,-0.28
199112,-0.13
199212,-1.22
199312,0.44
199412,-0.67
199512,1.07
199612,1.56
199712,0.15
199812,1.06
199912,-0.16
200012,-0.65
200112,-0.88
200212,-1.17
200312,-0.64
200412,-0.36
200512,0.07
200612,0.01
200712,-0.73
200812,-0.65
200912,-0.39
201012,0.95
201112,0.15
201212,0.81
201312,-0.90
201412,-0.10
201512,-1.13
201612,-0.16
201712,0.16
201812,-1.30
201912,-0.25
202012,-0.67
202112,-1.24
202212,-0.29
202312,-0.71
