Rhode Island January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.15
197512,0.74
197612,-0.21
197712,0.65
197812,0.14
197912,0.86
198012,-0.76
198112,-0.44
198212,0.40
198312,1.30
198412,0.61
198512,-0.16
198612,0.46
198712,-0.40
198812,-0.14
198912,1.10
199012,0.34
199112,-0.13
199212,0.44
199312,-0.38
199412,-0.19
199512,-0.55
199612,1.11
199712,-0.51
199812,0.87
199912,-0.24
200012,0.44
200112,-0.29
200212,-0.02
200312,0.85
200412,0.15
200512,0.86
200612,0.88
200712,-0.38
200812,0.97
200912,0.91
201012,0.35
201112,1.00
201212,-0.53
201312,-0.32
201412,0.09
201512,-0.72
201612,-0.64
201712,0.23
201812,1.24
201912,1.08
202012,-0.47
202112,0.36
202212,-0.19
202312,0.96
