California January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.12
197512,0.07
197612,-1.52
197712,-1.43
197812,0.78
197912,0.21
198012,0.22
198112,0.08
198212,1.66
198312,2.50
198412,-0.27
198512,-0.99
198612,-0.06
198712,-0.99
198812,-0.48
198912,-0.75
199012,-1.34
199112,-0.45
199212,-0.66
199312,0.61
199412,-0.74
199512,1.72
199612,1.04
199712,-0.55
199812,2.43
199912,-0.45
200012,-0.38
200112,-0.63
200212,-0.85
200312,-0.08
200412,-0.57
200512,1.34
200612,-0.06
200712,-1.55
200812,-1.19
200912,-0.88
201012,1.16
201112,0.24
201212,-0.33
201312,-1.86
201412,-1.69
201512,-1.39
201612,0.08
201712,0.17
201812,-0.99
201912,0.69
202012,-1.39
202112,-1.47
202212,-1.36
202312,0.44
