Tennessee January-December Palmer Z-Index
Missing: -99
Date,Value
197412,1.13
197512,1.05
197612,0.04
197712,0.43
197812,-0.24
197912,1.69
198012,-0.81
198112,-0.07
198212,0.55
198312,0.20
198412,0.54
198512,-0.54
198612,-0.79
198712,-1.05
198812,-0.56
198912,1.62
199012,0.53
199112,0.51
199212,0.34
199312,-0.40
199412,1.17
199512,0.22
199612,1.14
199712,0.67
199812,0.35
199912,-0.77
200012,-0.73
200112,0.39
200212,0.49
200312,1.25
200412,1.06
200512,-0.66
200612,-0.25
200712,-1.76
200812,-0.32
200912,1.11
201012,-0.47
201112,0.86
201212,-0.76
201312,1.35
201412,0.56
201512,0.72
201612,-0.80
201712,0.56
201812,1.37
201912,1.28
202012,1.30
202112,0.90
202212,0.01
202312,-0.20
