Texas January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.62
197512,0.85
197612,0.23
197712,-0.40
197812,-0.57
197912,1.30
198012,-0.56
198112,0.53
198212,0.07
198312,0.29
198412,-0.34
198512,0.72
198612,0.55
198712,1.32
198812,-0.82
198912,-0.47
199012,0.31
199112,1.34
199212,1.67
199312,0.61
199412,0.01
199512,0.52
199612,-1.10
199712,1.35
199812,-0.19
199912,-0.62
200012,-0.87
200112,0.33
200212,0.30
200312,-0.44
200412,1.69
200512,-0.56
200612,-1.43
200712,2.05
200812,-0.97
200912,-0.76
201012,0.27
201112,-2.66
201212,-0.97
201312,-0.77
201412,-0.80
201512,2.08
201612,0.84
201712,-0.16
201812,0.31
201912,0.37
202012,-0.78
202112,-0.18
202212,-1.70
202312,-1.19
