Wisconsin January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.05
197512,0.24
197612,-1.84
197712,-0.29
197812,0.85
197912,0.73
198012,0.47
198112,0.28
198212,1.19
198312,0.59
198412,0.74
198512,0.90
198612,0.61
198712,-0.61
198812,-1.39
198912,-1.00
199012,0.77
199112,1.00
199212,0.35
199312,1.09
199412,0.03
199512,0.35
199612,0.69
199712,0.15
199812,-0.22
199912,0.22
200012,0.45
200112,0.47
200212,0.78
200312,-0.64
200412,0.70
200512,-0.75
200612,-0.36
200712,0.22
200812,0.23
200912,0.12
201012,0.86
201112,-0.05
201212,-0.89
201312,0.86
201412,1.12
201512,0.69
201612,1.09
201712,1.15
201812,1.35
201912,2.17
202012,0.68
202112,-0.47
202212,0.14
202312,-0.58
