Wyoming January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.41
197512,0.73
197612,0.08
197712,-1.41
197812,0.75
197912,-0.45
198012,-0.06
198112,-0.95
198212,1.70
198312,1.73
198412,0.77
198512,-0.84
198612,0.68
198712,-0.50
198812,-1.96
198912,-0.87
199012,-0.69
199112,0.09
199212,-1.27
199312,1.39
199412,-0.27
199512,1.85
199612,0.80
199712,1.33
199812,1.46
199912,0.55
200012,-1.46
200112,-2.50
200212,-2.23
200312,-0.95
200412,-1.33
200512,-0.47
200612,-1.50
200712,-1.60
200812,-0.08
200912,0.60
201012,0.49
201112,0.99
201212,-2.49
201312,-0.86
201412,0.93
201512,-0.16
201612,-0.31
201712,0.52
201812,-0.11
201912,0.96
202012,-0.90
202112,-1.70
202212,-1.05
202312,1.05
