Colorado January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.67
197512,0.14
197612,-0.66
197712,-1.70
197812,-0.20
197912,0.98
198012,0.23
198112,-1.11
198212,0.70
198312,1.56
198412,1.42
198512,1.10
198612,0.86
198712,0.72
198812,0.01
198912,-1.17
199012,-0.36
199112,0.09
199212,0.36
199312,1.08
199412,-0.30
199512,1.23
199612,0.35
199712,1.59
199812,0.55
199912,0.58
200012,-0.90
200112,-0.97
200212,-2.65
200312,-1.09
200412,-0.28
200512,0.32
200612,-0.55
200712,0.02
200812,0.10
200912,0.31
201012,0.15
201112,-0.14
201212,-2.72
201312,-0.72
201412,0.26
201512,0.72
201612,-0.37
201712,-0.25
201812,-2.02
201912,0.37
202012,-2.24
202112,-1.37
202212,-1.27
202312,0.46
