Delaware January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.53
197512,1.17
197612,-0.50
197712,-0.55
197812,0.20
197912,1.45
198012,-0.45
198112,-0.63
198212,-0.27
198312,0.91
198412,-0.12
198512,-0.54
198612,-0.98
198712,-0.95
198812,-0.55
198912,1.45
199012,-0.48
199112,-0.68
199212,-0.03
199312,-0.09
199412,0.20
199512,-0.58
199612,1.65
199712,-0.29
199812,-0.64
199912,-0.07
200012,0.40
200112,-0.46
200212,-0.03
200312,1.60
200412,-0.05
200512,0.31
200612,0.23
200712,-0.94
200812,-0.35
200912,1.20
201012,-0.86
201112,-0.31
201212,-0.96
201312,0.78
201412,0.01
201512,0.01
201612,0.06
201712,-0.20
201812,1.43
201912,-0.64
202012,0.87
202112,-0.62
202212,-0.56
202312,-0.25
