Florida January-December Palmer Z-Index
Missing: -99
Date,Value
197412,-0.51
197512,0.24
197612,0.24
197712,-0.67
197812,-0.04
197912,0.64
198012,-0.44
198112,-1.11
198212,0.72
198312,1.25
198412,-0.26
198512,-0.37
198612,-0.65
198712,-0.34
198812,-0.11
198912,-0.45
199012,-1.74
199112,0.58
199212,0.37
199312,-0.63
199412,1.00
199512,0.57
199612,0.12
199712,0.73
199812,-0.50
199912,-0.45
200012,-1.78
200112,-0.44
200212,0.36
200312,0.40
200412,0.05
200512,0.62
200612,-1.95
200712,-1.83
200812,-0.27
200912,-0.11
201012,-0.88
201112,-1.39
201212,-0.37
201312,0.23
201412,0.55
201512,-0.81
201612,-0.48
201712,0.02
201812,0.43
201912,-0.82
202012,-0.06
202112,-0.02
202212,-0.26
202312,-0.30
