Alabama January-December Palmer Z-Index
Missing: -99
Date,Value
197412,0.68
197512,1.86
197612,0.41
197712,0.01
197812,-0.42
197912,1.25
198012,0.02
198112,-0.81
198212,0.45
198312,1.22
198412,-0.26
198512,-0.09
198612,-0.85
198712,-0.69
198812,-0.28
198912,1.09
199012,-0.28
199112,0.54
199212,0.70
199312,-0.43
199412,0.65
199512,0.25
199612,0.31
199712,0.87
199812,-0.12
199912,-0.59
200012,-1.42
200112,0.52
200212,0.10
200312,1.01
200412,0.65
200512,0.33
200612,-0.83
200712,-1.82
200812,-0.09
200912,1.54
201012,-0.90
201112,-0.70
201212,-0.28
201312,1.07
201412,0.09
201512,0.17
201612,-1.37
201712,0.85
201812,0.56
201912,-0.28
202012,1.05
202112,1.04
202212,0.05
202312,-0.54
