Idaho January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,22.67
197512,29.12
197612,20.29
197712,24.01
197812,23.24
197912,19.85
198012,28.67
198112,26.14
198212,30.55
198312,31.41
198412,27.35
198512,20.14
198612,25.08
198712,18.42
198812,20.49
198912,20.96
199012,23.41
199112,22.42
199212,18.96
199312,24.08
199412,20.39
199512,31.11
199612,32.10
199712,25.28
199812,28.95
199912,22.64
200012,20.89
200112,19.13
200212,18.98
200312,22.56
200412,23.18
200512,24.58
200612,26.38
200712,19.56
200812,21.97
200912,22.88
201012,26.14
201112,24.69
201212,25.71
201312,17.64
201412,26.47
201512,22.52
201612,24.88
201712,28.83
201812,21.88
201912,23.41
202012,22.19
202112,21.01
202212,22.04
202312,22.14
