Illinois January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,41.66
197512,40.74
197612,28.54
197712,41.80
197812,35.72
197912,38.63
198012,33.65
198112,41.69
198212,46.58
198312,41.29
198412,41.31
198512,45.63
198612,37.45
198712,34.68
198812,29.33
198912,32.39
199012,49.94
199112,36.12
199212,35.81
199312,51.17
199412,35.49
199512,38.91
199612,38.82
199712,35.10
199812,44.48
199912,35.71
200012,39.77
200112,39.65
200212,39.06
200312,37.77
200412,39.97
200512,31.43
200612,40.63
200712,36.68
200812,50.17
200912,50.96
201012,40.68
201112,46.10
201212,30.11
201312,42.49
201412,41.29
201512,48.80
201612,39.74
201712,37.80
201812,45.79
201912,49.86
202012,41.93
202112,41.01
202212,37.25
202312,34.49
