Kansas January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,24.44
197512,26.17
197612,21.00
197712,32.51
197812,23.82
197912,29.58
198012,21.58
198112,29.94
198212,28.56
198312,26.42
198412,28.92
198512,32.91
198612,31.40
198712,32.22
198812,19.84
198912,26.44
199012,27.93
199112,23.15
199212,33.79
199312,38.47
199412,25.00
199512,29.68
199612,30.76
199712,30.29
199812,32.31
199912,30.26
200012,25.48
200112,27.75
200212,22.44
200312,25.11
200412,30.91
200512,29.60
200612,24.73
200712,33.26
200812,33.34
200912,31.80
201012,27.84
201112,24.17
201212,19.29
201312,29.03
201412,25.43
201512,32.77
201612,30.68
201712,29.03
201812,31.85
201912,36.03
202012,25.85
202112,27.25
202212,21.24
202312,25.60
