Kentucky January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,53.06
197512,56.95
197612,42.49
197712,48.52
197812,52.97
197912,62.58
198012,37.26
198112,43.92
198212,50.25
198312,47.83
198412,52.70
198512,44.42
198612,42.58
198712,38.44
198812,43.55
198912,57.74
199012,55.41
199112,46.03
199212,42.79
199312,46.87
199412,48.66
199512,47.95
199612,56.75
199712,49.05
199812,49.32
199912,38.09
200012,45.29
200112,45.43
200212,53.51
200312,55.98
200412,55.94
200512,39.80
200612,52.37
200712,41.86
200812,46.51
200912,54.35
201012,43.54
201112,64.35
201212,43.21
201312,55.78
201412,47.11
201512,58.30
201612,49.19
201712,50.26
201812,63.74
201912,61.31
202012,58.11
202112,53.39
202212,49.31
202312,44.06
