Louisiana January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,66.68
197512,66.76
197612,49.51
197712,59.42
197812,50.77
197912,71.35
198012,58.38
198112,45.55
198212,65.42
198312,68.00
198412,58.79
198512,60.41
198612,53.02
198712,60.21
198812,57.63
198912,64.00
199012,58.77
199112,79.48
199212,66.56
199312,58.94
199412,59.07
199512,62.33
199612,53.08
199712,64.31
199812,62.98
199912,47.84
200012,47.80
200112,68.31
200212,64.27
200312,51.95
200412,72.48
200512,45.57
200612,55.40
200712,52.41
200812,56.13
200912,64.04
201012,41.76
201112,43.01
201212,62.88
201312,61.43
201412,55.94
201512,67.31
201612,67.08
201712,64.06
201812,66.39
201912,61.87
202012,66.96
202112,66.28
202212,55.58
202312,43.68
