Maryland January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,40.13
197512,53.76
197612,40.53
197712,39.67
197812,44.74
197912,56.95
198012,36.71
198112,36.54
198212,39.70
198312,51.37
198412,45.50
198512,40.69
198612,36.55
198712,38.51
198812,37.86
198912,51.18
199012,46.27
199112,35.79
199212,42.32
199312,45.72
199412,45.83
199512,39.53
199612,58.97
199712,38.77
199812,42.46
199912,44.27
200012,43.92
200112,36.02
200212,41.47
200312,60.74
200412,46.59
200512,44.03
200612,44.97
200712,36.05
200812,45.00
200912,51.27
201012,40.89
201112,51.11
201212,40.40
201312,46.04
201412,44.76
201512,46.86
201612,41.66
201712,41.21
201812,64.62
201912,42.70
202012,52.85
202112,41.57
202212,44.10
202312,38.08
