Alaska January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,33.22
197512,33.22
197612,36.63
197712,35.14
197812,34.85
197912,37.26
198012,38.48
198112,40.29
198212,35.07
198312,31.95
198412,33.03
198512,39.70
198612,37.70
198712,39.37
198812,38.17
198912,37.52
199012,39.07
199112,38.70
199212,38.54
199312,39.25
199412,39.17
199512,31.29
199612,31.64
199712,35.81
199812,36.54
199912,40.29
200012,40.08
200112,37.50
200212,40.52
200312,39.00
200412,38.74
200512,40.36
200612,38.71
200712,34.09
200812,37.09
200912,35.21
201012,33.85
201112,38.74
201212,37.28
201312,40.81
201412,36.75
201512,40.10
201612,37.07
201712,38.06
201812,37.90
201912,38.00
202012,37.94
202112,38.68
202212,42.99
202312,42.19
