Massachusetts January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,44.73
197512,55.75
197612,42.45
197712,54.08
197812,42.20
197912,54.45
198012,35.53
198112,43.16
198212,45.71
198312,59.42
198412,49.90
198512,40.55
198612,48.40
198712,45.27
198812,42.31
198912,50.38
199012,52.01
199112,48.23
199212,44.79
199312,44.45
199412,47.81
199512,41.49
199612,60.61
199712,41.12
199812,50.16
199912,46.04
200012,50.19
200112,39.98
200212,47.23
200312,53.29
200412,46.50
200512,57.01
200612,53.70
200712,45.49
200812,59.70
200912,51.71
201012,49.63
201112,60.83
201212,41.78
201312,46.39
201412,50.10
201512,41.39
201612,36.83
201712,46.82
201812,61.03
201912,52.74
202012,42.40
202112,54.82
202212,43.54
202312,57.69
