Michigan January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,32.51
197512,36.64
197612,27.92
197712,33.91
197812,30.96
197912,32.42
198012,31.59
198112,32.12
198212,34.47
198312,34.87
198412,31.96
198512,39.22
198612,34.80
198712,30.44
198812,32.35
198912,27.57
199012,36.19
199112,35.50
199212,33.36
199312,32.44
199412,32.39
199512,31.83
199612,34.00
199712,29.93
199812,29.56
199912,31.40
200012,33.02
200112,35.17
200212,30.90
200312,31.08
200412,35.35
200512,29.89
200612,35.85
200712,30.66
200812,36.85
200912,33.87
201012,31.22
201112,36.82
201212,31.00
201312,38.23
201412,36.66
201512,31.74
201612,35.86
201712,39.27
201812,36.17
201912,41.83
202012,35.31
202112,32.88
202212,32.62
202312,33.40
