Mississippi January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,69.24
197512,68.53
197612,50.20
197712,59.51
197812,49.39
197912,75.58
198012,61.97
198112,42.34
198212,66.54
198312,74.32
198412,54.93
198512,52.77
198612,48.80
198712,52.32
198812,52.40
198912,65.52
199012,60.97
199112,73.90
199212,56.01
199312,55.08
199412,60.49
199512,57.44
199612,54.12
199712,64.85
199812,57.05
199912,47.90
200012,44.64
200112,66.28
200212,66.08
200312,58.98
200412,65.81
200512,50.64
200612,52.47
200712,41.78
200812,59.44
200912,68.42
201012,43.91
201112,52.84
201212,59.17
201312,62.93
201412,58.22
201512,60.57
201612,53.13
201712,58.93
201812,66.81
201912,68.06
202012,68.84
202112,65.50
202212,59.58
202312,47.61
