Nebraska January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,15.56
197512,20.47
197612,17.24
197712,28.90
197812,22.33
197912,25.49
198012,17.17
198112,24.16
198212,27.51
198312,25.11
198412,25.84
198512,22.45
198612,26.80
198712,25.37
198812,20.12
198912,16.71
199012,21.50
199112,22.03
199212,25.59
199312,31.87
199412,21.90
199512,25.18
199612,25.48
199712,22.14
199812,25.93
199912,22.84
200012,20.36
200112,24.48
200212,15.65
200312,19.98
200412,22.92
200512,23.57
200612,21.56
200712,28.64
200812,28.09
200912,25.70
201012,27.06
201112,25.81
201212,13.36
201312,23.44
201412,24.98
201512,28.06
201612,25.31
201712,25.34
201812,29.22
201912,31.37
202012,18.24
202112,22.60
202212,15.62
202312,24.78
