Nevada January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,7.97
197512,10.62
197612,9.90
197712,9.89
197812,13.83
197912,9.82
198012,12.98
198112,10.71
198212,13.64
198312,17.80
198412,12.12
198512,8.74
198612,9.10
198712,12.07
198812,9.38
198912,7.55
199012,9.16
199112,10.07
199212,9.72
199312,10.79
199412,9.53
199512,13.75
199612,12.20
199712,10.01
199812,16.91
199912,7.74
200012,10.48
200112,8.93
200212,6.24
200312,9.82
200412,11.35
200512,13.55
200612,9.67
200712,7.59
200812,7.69
200912,9.22
201012,13.06
201112,8.62
201212,8.89
201312,7.46
201412,9.92
201512,11.34
201612,11.15
201712,11.17
201812,9.27
201912,13.81
202012,5.86
202112,9.58
202212,8.48
202312,12.84
