New Hampshire January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,45.01
197512,49.41
197612,47.06
197712,50.32
197812,38.71
197912,47.63
198012,35.92
198112,49.44
198212,39.68
198312,56.45
198412,47.70
198512,38.64
198612,46.90
198712,43.16
198812,41.17
198912,45.87
199012,53.75
199112,46.41
199212,38.99
199312,42.13
199412,43.76
199512,43.66
199612,57.33
199712,43.12
199812,47.57
199912,46.18
200012,48.77
200112,34.87
200212,44.89
200312,50.38
200412,43.24
200512,61.09
200612,58.25
200712,48.33
200812,60.78
200912,51.67
201012,50.00
201112,57.49
201212,45.18
201312,45.76
201412,49.64
201512,44.01
201612,39.57
201712,49.17
201812,51.80
201912,50.25
202012,41.80
202112,45.98
202212,46.20
202312,56.26
