New Jersey January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,44.00
197512,57.66
197612,38.66
197712,48.53
197812,47.64
197912,56.49
198012,38.20
198112,38.88
198212,39.95
198312,58.50
198412,49.13
198512,39.46
198612,45.69
198712,44.74
198812,40.02
198912,54.54
199012,48.96
199112,42.41
199212,41.70
199312,44.71
199412,47.31
199512,39.70
199612,59.18
199712,42.87
199812,41.75
199912,47.26
200012,45.25
200112,35.55
200212,45.91
200312,56.48
200412,48.70
200512,48.81
200612,51.41
200712,46.93
200812,47.22
200912,53.17
201012,44.60
201112,63.95
201212,41.99
201312,46.38
201412,48.95
201512,43.86
201612,39.59
201712,44.92
201812,64.76
201912,51.55
202012,49.85
202112,47.87
202212,44.05
202312,50.45
