Arizona January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,10.99
197512,10.16
197612,11.62
197712,10.61
197812,20.13
197912,12.21
198012,13.58
198112,12.47
198212,16.52
198312,18.97
198412,15.88
198512,13.90
198612,13.87
198712,13.28
198812,12.64
198912,7.67
199012,14.08
199112,12.91
199212,18.15
199312,16.77
199412,12.45
199512,11.44
199612,8.74
199712,12.71
199812,14.44
199912,10.37
200012,11.13
200112,10.79
200212,6.97
200312,10.51
200412,13.52
200512,13.09
200612,9.76
200712,10.99
200812,12.31
200912,7.03
201012,13.91
201112,9.63
201212,9.56
201312,12.13
201412,11.07
201512,14.39
201612,12.28
201712,9.47
201812,11.67
201912,14.69
202012,6.56
202112,12.57
202212,12.07
202312,11.06
