New Mexico January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,14.84
197512,12.94
197612,11.38
197712,13.22
197812,16.48
197912,14.45
198012,12.19
198112,15.22
198212,15.01
198312,14.32
198412,17.62
198512,17.46
198612,20.57
198712,14.96
198812,15.93
198912,11.01
199012,15.96
199112,19.02
199212,15.53
199312,14.10
199412,14.43
199512,11.74
199612,14.13
199712,18.64
199812,14.10
199912,14.95
200012,13.36
200112,11.82
200212,12.29
200312,9.07
200412,17.25
200512,14.34
200612,15.97
200712,14.75
200812,13.74
200912,11.94
201012,14.82
201112,9.80
201212,8.41
201312,13.67
201412,13.20
201512,19.33
201612,12.94
201712,14.80
201812,12.72
201912,13.38
202012,8.35
202112,12.34
202212,14.11
202312,10.86
