New York January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,42.27
197512,45.97
197612,47.81
197712,50.06
197812,38.42
197912,43.97
198012,36.27
198112,40.15
198212,37.32
198312,45.60
198412,42.59
198512,38.93
198612,44.68
198712,39.54
198812,35.74
198912,42.80
199012,50.02
199112,37.08
199212,42.69
199312,41.37
199412,42.11
199512,37.10
199612,50.83
199712,39.01
199812,41.41
199912,38.78
200012,46.25
200112,34.14
200212,43.57
200312,48.02
200412,45.17
200512,46.85
200612,48.90
200712,44.47
200812,47.73
200912,42.37
201012,43.93
201112,55.71
201212,39.56
201312,43.99
201412,43.23
201512,40.64
201612,38.17
201712,47.38
201812,48.59
201912,48.22
202012,39.28
202112,46.25
202212,43.13
202312,46.85
