North Carolina January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,52.28
197512,57.54
197612,45.95
197712,48.81
197812,47.84
197912,58.73
198012,44.31
198112,40.76
198212,52.16
198312,52.87
198412,50.95
198512,47.01
198612,38.89
198712,47.99
198812,39.90
198912,60.57
199012,48.60
199112,47.87
199212,52.61
199312,46.14
199412,50.11
199512,54.35
199612,56.79
199712,46.09
199812,53.83
199912,52.47
200012,44.36
200112,37.81
200212,47.53
200312,63.16
200412,49.15
200512,47.58
200612,51.17
200712,34.75
200812,45.81
200912,53.20
201012,46.27
201112,45.99
201212,46.62
201312,56.46
201412,50.08
201512,58.32
201612,50.61
201712,47.96
201812,68.35
201912,51.15
202012,66.55
202112,47.60
202212,46.63
202312,48.83
