North Dakota January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,15.62
197512,21.26
197612,12.29
197712,21.31
197812,17.89
197912,14.42
198012,16.75
198112,17.08
198212,21.42
198312,15.72
198412,15.89
198512,17.33
198612,21.79
198712,16.10
198812,11.43
198912,14.33
199012,15.07
199112,19.72
199212,14.72
199312,22.95
199412,20.40
199512,19.59
199612,18.52
199712,16.53
199812,21.18
199912,20.44
200012,21.31
200112,16.82
200212,15.83
200312,16.24
200412,18.86
200512,20.98
200612,14.02
200712,19.00
200812,19.76
200912,18.96
201012,23.48
201112,21.44
201212,15.09
201312,23.28
201412,18.61
201512,17.72
201612,21.85
201712,12.99
201812,17.77
201912,24.39
202012,12.92
202112,15.63
202212,18.85
202312,17.45
