Utah January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,9.73
197512,13.67
197612,9.18
197712,10.89
197812,17.10
197912,11.78
198012,17.33
198112,15.23
198212,17.64
198312,20.07
198412,15.73
198512,14.80
198612,15.01
198712,14.79
198812,11.18
198912,9.04
199012,12.15
199112,13.51
199212,13.00
199312,15.64
199412,13.12
199512,15.55
199612,14.18
199712,16.80
199812,17.40
199912,12.43
200012,13.53
200112,11.69
200212,9.04
200312,11.53
200412,15.27
200512,16.68
200612,14.41
200712,11.28
200812,11.66
200912,11.80
201012,17.23
201112,14.71
201212,10.69
201312,13.21
201412,13.33
201512,15.41
201612,14.04
201712,12.83
201812,11.58
201912,16.94
202012,7.24
202112,13.55
202212,11.40
202312,15.02
