West Virginia January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,47.04
197512,51.04
197612,41.98
197712,41.54
197812,47.40
197912,52.73
198012,43.97
198112,41.66
198212,44.48
198312,44.43
198412,45.42
198512,45.27
198612,43.09
198712,38.86
198812,35.34
198912,54.16
199012,49.51
199112,41.77
199212,41.19
199312,44.31
199412,49.45
199512,44.06
199612,59.17
199712,41.23
199812,46.11
199912,38.98
200012,42.59
200112,39.86
200212,48.56
200312,59.42
200412,53.07
200512,41.89
200612,43.63
200712,42.85
200812,46.04
200912,46.80
201012,42.43
201112,55.10
201212,44.62
201312,47.59
201412,42.79
201512,48.62
201612,45.36
201712,47.01
201812,65.10
201912,48.24
202012,53.77
202112,42.58
202212,49.37
202312,40.11
