Wisconsin January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,28.98
197512,32.48
197612,21.06
197712,36.24
197812,35.30
197912,32.34
198012,33.43
198112,31.02
198212,36.59
198312,34.79
198412,34.98
198512,36.86
198612,35.21
198712,28.58
198812,25.59
198912,24.48
199012,36.01
199112,38.47
199212,31.01
199312,35.65
199412,30.89
199512,32.88
199612,33.00
199712,28.43
199812,32.43
199912,33.25
200012,34.19
200112,35.05
200212,35.08
200312,28.02
200412,34.91
200512,28.55
200612,30.07
200712,33.49
200812,32.72
200912,29.76
201012,39.02
201112,31.04
201212,28.80
201312,36.53
201412,37.08
201512,35.88
201612,39.39
201712,37.57
201812,39.74
201912,44.55
202012,34.19
202112,29.89
202212,32.28
202312,30.13
