Wyoming January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,12.92
197512,17.05
197612,14.53
197712,15.35
197812,18.38
197912,12.64
198012,15.93
198112,15.92
198212,19.50
198312,18.77
198412,15.63
198512,14.22
198612,17.91
198712,14.86
198812,11.42
198912,15.02
199012,15.37
199112,17.09
199212,14.98
199312,18.50
199412,14.02
199512,20.28
199612,17.30
199712,17.98
199812,19.57
199912,15.94
200012,14.31
200112,11.91
200212,11.97
200312,15.13
200412,14.56
200512,16.27
200612,12.74
200712,15.05
200812,16.05
200912,17.00
201012,17.25
201112,18.55
201212,10.96
201312,16.31
201412,18.09
201512,16.71
201612,17.28
201712,18.66
201812,16.12
201912,18.34
202012,11.72
202112,14.37
202212,14.72
202312,18.88
