California January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,21.35
197512,20.94
197612,11.75
197712,17.53
197812,28.86
197912,24.63
198012,24.12
198112,26.24
198212,31.99
198312,42.46
198412,18.32
198512,14.70
198612,24.25
198712,19.70
198812,17.10
198912,14.95
199012,13.99
199112,19.79
199212,23.23
199312,26.70
199412,17.54
199512,35.20
199612,32.51
199712,20.60
199812,36.41
199912,17.63
200012,21.43
200112,23.02
200212,18.68
200312,21.63
200412,21.76
200512,30.10
200612,23.61
200712,13.83
200812,17.85
200912,17.05
201012,31.18
201112,18.79
201212,23.45
201312,7.93
201412,19.90
201512,15.04
201612,25.73
201712,28.17
201812,18.09
201912,29.12
202012,12.07
202112,18.93
202212,14.10
202312,27.14
