Colorado January-December Precipitation
Units: Inches
Missing: -99
Date,Value
197412,14.61
197512,16.54
197612,14.56
197712,15.83
197812,17.86
197912,19.30
198012,17.81
198112,18.79
198212,19.84
198312,21.92
198412,20.55
198512,20.51
198612,19.83
198712,18.82
198812,16.74
198912,14.74
199012,19.90
199112,18.65
199212,18.53
199312,19.90
199412,17.13
199512,21.79
199612,19.85
199712,22.24
199812,18.77
199912,20.03
200012,16.91
200112,16.81
200212,11.85
200312,16.44
200412,18.93
200512,18.95
200612,18.67
200712,18.71
200812,17.46
200912,18.79
201012,18.19
201112,17.62
201212,12.31
201312,18.79
201412,19.14
201512,21.73
201612,17.08
201712,18.91
201812,14.96
201912,18.91
202012,12.23
202112,17.10
202212,16.48
202312,19.05
